Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
hyundai grand i10;114000;2019;70 000 - 74 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141948495?t=images;https://www.avito.ma/fr/hay_mohammadi/voitures_d_occasion/hyundai_grand_i10_57199111.htm
hyundaii10;60000;2009;15 000 - 19 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141944700?t=images;https://www.avito.ma/fr/el_bassatine/voitures_d_occasion/hyundaii10_57198695.htm
Hyundai i10 Essence Manuelle 2018 à Casablanca;95000;2018;65 000 - 69 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141926984?t=images;https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Hyundai_i10_Essence_Manuelle_2018_à_Casablanca_57196884.htm
Hyundai i10 automatique;0;2023;40 000 - 44 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141911271?t=images;https://www.avito.ma/fr/cgi/voitures_d_occasion/Hyundai_i10_automatique_57195700.htm
Hyundai en bon état;68000;2012;140 000 - 149 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141839397?t=images;https://www.avito.ma/fr/hay_hassani/voitures_d_occasion/Hyundai_en_bon_état_57193449.htm
Hyundai i10 Essence manuelle 2011 à Rabat;70000;2011;160 000 - 169 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141826451?t=images;https://www.avito.ma/fr/hassan/voitures_d_occasion/Hyundai_i10_Essence_manuelle_2011_à_Rabat_57192443.htm
hyndai i10;125000;2021;55 000 - 59 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141820917?t=images;https://www.avito.ma/fr/ahlane/voitures_d_occasion/hyndai_i10_57191946.htm
i10 Impeccable;60000;2014;10 000 - 14 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141768328?t=images;https://www.avito.ma/fr/ait_melloul/voitures_d_occasion/i10_Impeccable_57186575.htm
Hyundai I10 Essence BVA.;145000;2025;15 000 - 19 999;Automatique;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141754080?t=images;https://www.avito.ma/fr/autre_secteur/voitures_d_occasion/Hyundai_I10_Essence_BVA__57185021.htm
Grand i10 encore propre, 2ème main;102000;2018;65 000 - 69 999;Manuelle;Essence;Hyundai;i 10;N/A;https://content.avito.ma/classifieds/images/10141729690?t=images;https://www.avito.ma/fr/sidi_bernoussi/voitures_d_occasion/Grand_i10_encore_propre__2ème_main_57182806.htm
